taxifromsiam.tripid,taxifromsiam.distance,taxifromsiam.originlat,taxifromsiam.originlon,taxifromsiam.deslat,taxifromsiam.deslon,taxifromsiam.origingrid,taxifromsiam.desgrid,taxifromsiam.totaltriptime,taxifromsiam.totaltriptimetopickup,taxifromsiam.avgspeed,taxifromsiam.trafficdelay,taxifromsiam.trafficdelaytopickup,taxifromsiam.waittime,taxifromsiam.costnew
30863,2.23,13.74588,100.54943,13.74622,100.55368,1262,1263,0,16,16.16901408,0,7,4,0
30866,1.61,13.74688,100.54817,13.74725,100.54448,1262,1262,10,31,16.95238095,5,5,0,49
30867,0.25,13.7471,100.54443,13.74498,100.54402,1262,1262,0,10,7.555555556,0,9,11,0
30868,3.21,13.74457,100.54388,13.7321,100.53108,1262,1385,12,10,31.19402985,1,9,11,50
30870,0.37,13.74565,100.53543,13.745,100.53868,1261,1261,2,7,13.5,1,1,8,38
30871,1.61,13.7448,100.53933,13.74713,100.54065,1261,1262,0,18,15.46666667,0,9,9,0
30872,4.35,13.747,100.54063,13.75627,100.56492,1262,1202,19,18,24.64761905,3,9,9,60
30880,0.95,13.75082,100.54523,13.74473,100.5439,1262,1262,3,17,22.2962963,0,6,12,36
30881,0,13.74465,100.54382,13.74465,100.54382,1262,1262,0,0,2,0,0,2,0
30882,4.43,13.7443,100.54392,13.71562,100.53792,1262,1447,36,0,20.01369863,12,0,2,79
30890,2.67,13.75122,100.53755,13.7428,100.55325,1261,1325,5,3,30.66666667,1,0,2,47
30891,4.05,13.74258,100.5531,13.74468,100.54402,1325,1262,0,22,17.20863309,0,4,8,0
30892,3.92,13.74452,100.54397,13.73448,100.52147,1262,1322,15,22,31.475,0,4,8,52
30916,0.08,13.74252,100.55158,13.74272,100.55085,1325,1325,1,12,10,0,4,12,36
30917,0.03,13.74332,100.55097,13.74363,100.55102,1325,1325,0,0,28,0,0,0,0
30942,1.36,13.73582,100.5462,13.7428,100.54953,1324,1324,0,4,24.54054054,0,1,5,0
30943,11.04,13.74283,100.5495,13.70288,100.50327,1324,1568,28,4,35.36190476,2,1,5,96
30953,1.87,13.7397,100.54675,13.74557,100.53495,1324,1261,12,16,16.86956522,2,8,1,45
30954,3.02,13.74528,100.53642,13.74597,100.5536,1261,1263,0,27,17.66315789,0,18,4,0
30956,0.77,13.74622,100.54072,13.73975,100.53937,1262,1323,0,4,20.7826087,0,1,1,0
30958,0.09,13.74355,100.54527,13.74368,100.54447,1324,1324,0,0,16,0,0,1,0
30959,0.65,13.74377,100.54432,13.74512,100.53898,1324,1261,4,0,22,0,0,1,36
30960,0.3,13.74502,100.53922,13.74718,100.5404,1261,1262,0,1,10.66666667,0,1,1,0
30961,1.86,13.74665,100.54078,13.74393,100.54402,1262,1324,20,1,13.35211268,11,1,1,63
30962,0.14,13.74393,100.54457,13.74373,100.54585,1324,1324,0,1,15.71428571,0,0,5,0
30963,3.3,13.74362,100.54737,13.74055,100.56015,1324,1326,25,1,16.08264463,12,0,5,73
30965,0.01,13.73787,100.55992,13.73788,100.55987,1325,1325,0,7,4,0,3,7,36
30966,1.85,13.73773,100.5598,13.73248,100.56288,1325,1388,0,6,18.60869565,0,1,5,0
30973,0.13,13.7416,100.55325,13.74237,100.55232,1325,1325,0,25,15.33333333,0,4,12,36
30974,0.02,13.74247,100.55212,13.74253,100.55198,1325,1325,0,0,7,0,0,0,0
30975,1.45,13.74263,100.55157,13.745,100.55702,1325,1263,14,0,17.42857143,3,0,0,44
30978,0.51,13.74095,100.5585,13.73772,100.55997,1325,1325,0,2,17.66666667,0,0,3,0
30979,6.28,13.73763,100.55998,13.74293,100.52968,1325,1322,48,2,21.68421053,17,0,3,99
30982,2.63,13.74553,100.53535,13.74965,100.54278,1261,1262,0,20,19.2173913,0,3,4,0
30983,0.09,13.74965,100.54268,13.74988,100.54188,1262,1262,1,20,7,0,3,4,36
30984,0.26,13.74997,100.54132,13.74777,100.54075,1262,1262,0,0,25.42857143,0,0,1,0
30985,0.43,13.7476,100.54075,13.74377,100.54022,1262,1324,9,0,18.35294118,0,0,1,36
30986,3.06,13.74312,100.5401,13.74382,100.54467,1324,1324,0,14,20.65909091,0,1,0,0
30987,7.77,13.74503,100.54583,13.74688,100.52828,1262,1260,45,14,16.66935484,15,1,0,103
30988,0.29,13.74663,100.52892,13.74533,100.53057,1260,1261,0,3,13.27272727,0,1,1,0
30989,0.17,13.74493,100.53052,13.7447,100.53202,1261,1261,1,3,8.2,0,1,1,36
